title,author,date,abstract,column,url
OPINION: It’s time to solve the move-out trash crisis of dorm dumping,Sophia Hammer,"November 5, 2023",N/A,Opinion,https://wildcat.arizona.edu/151096/opinions/o-dorm-waste/
OPINION: When did everyone become a DJ? Exploring EDM culture at the University of Arizona,Olivia Krupp,"October 2, 2023",N/A,Opinion,https://wildcat.arizona.edu/149779/opinions/o-when-did-everyone-become-a-dj/
OPINION: Check out five of Tucson’s best restaurants,Kate Herreras-Zinman,"September 13, 2023",N/A,Opinion,https://wildcat.arizona.edu/143578/opinions/o-best-tucson-eats-2023/
OPINION: Students’ choices slim as living options get smaller and prices get larger,Olivia Malone,"September 1, 2023",N/A,Opinion,https://wildcat.arizona.edu/151031/opinions/opinion-students-choices-slim-as-living-options-get-smaller-and-prices-get-larger/
GUEST LETTER: A first-generation welcome,Eddie Barron,"September 1, 2023",N/A,Opinion,https://wildcat.arizona.edu/148689/opinions/guest-letter-a-first-generation-welcome/
GUEST LETTER: The 2023-24 ASUA president welcomes new University of Arizona students,Alyssa Sanchez,"August 28, 2023",N/A,Opinion,https://wildcat.arizona.edu/148508/opinions/asua-president-2023-welcome-letter/
OPINION: Seasonal depression goes beyond just heat in Tucson,Noor Haghighi,"August 27, 2023",N/A,Opinion,https://wildcat.arizona.edu/148496/opinions/opinion-seasonal-depression-goes-beyond-just-heat-in-tucson/
OPINION: Five restaurants that capture the culinary spirit of Tucson,"Jacob Baird, El Inde Arizona","August 15, 2023",N/A,Opinion,https://wildcat.arizona.edu/148305/opinions/o-five-restaurants-tucson/
OPINION: The University of Arizona is throwing money at an issue that goes much deeper than the school’s pockets,Olivia Malone,"June 20, 2023",N/A,Opinion,https://wildcat.arizona.edu/148097/opinions/o-university-of-arizona-throwing-money/
OPINION: The line between free speech and hate speech on school campuses needs to be reviewed,Olivia Krupp,"April 24, 2023",N/A,Opinion,https://wildcat.arizona.edu/147016/opinions/opinion-the-line-between-free-speech-and-hate-speech-on-school-campuses-needs-to-be-reviewed/
OPINION: My freshman year at the University of Arizona felt like I was in a vivarium,Olivia Malone,"April 23, 2023",N/A,Opinion,https://wildcat.arizona.edu/147157/opinions/opinion-my-freshman-year-at-the-university-of-arizona-felt-like-i-was-in-a-vivarium/
OPINION: The pressure to graduate in four years is real — and unreasonable,Noor Haghighi,"April 21, 2023",N/A,Opinion,https://wildcat.arizona.edu/147124/opinions/opinion-the-pressure-to-graduate-in-four-years-is-real-and-unreasonable/
OPINION: College students should not be relying on energy drinks,Kelly Marry,"April 20, 2023",N/A,Opinion,https://wildcat.arizona.edu/147086/opinions/opinion-college-students-should-not-be-relying-on-energy-drinks/
OPINION: Theater staff can make or break the ideal Broadway experience,Tereza Rascon,"April 9, 2023",N/A,Opinion,https://wildcat.arizona.edu/147115/opinions/opinion-theater-staff-can-make-or-break-the-ideal-broadway-experience/
OPINION: Influencers are no longer relatable,Noor Haghighi,"April 3, 2023",N/A,Opinion,https://wildcat.arizona.edu/147123/opinions/opinion-influencers-are-no-longer-relatable/
OPINION: The UA fails to help as toll on community’s mental health continues six months after campus shooting,N/A,"March 24, 2023",N/A,Opinion,https://wildcat.arizona.edu/147068/opinions/opinion-the-ua-fails-to-help-as-toll-on-communitys-mental-health-continues-six-months-after-campus-shooting/
OPINION: Your situationship is ruining your life,Olivia Krupp,"March 17, 2023",N/A,Opinion,https://wildcat.arizona.edu/138471/opinions/opinion-your-situationship-is-ruining-your-life/
OPINION: Sites like Depop are gentrifying fashion,Luke Lawson,"March 16, 2023",N/A,Opinion,https://wildcat.arizona.edu/99009/opinions/opinion-sites-like-depop-are-gentrifying-fashion/
"OPINION: Grief is hard to deal with, especially as a college student",Kelly Marry,"March 14, 2023",N/A,Opinion,https://wildcat.arizona.edu/140538/opinions/opinion-grief-is-hard-to-deal-with-especially-as-a-college-student/
OPINION: It’s okay if your friend doesn’t speak to their parents,Kate Herreras-Zinman,"February 28, 2023",N/A,Opinion,https://wildcat.arizona.edu/112139/opinions/opinion-its-okay-if-your-friend-doesnt-speak-to-their-parents/
OPINION: Electric Callboy is more than sex and humor,Amanda Mourelatos,"February 21, 2023",N/A,Opinion,https://wildcat.arizona.edu/130113/opinions/opinion-electric-callboy-is-more-than-sex-and-humor/
OPINION: The University of Arizona was the wrong choice for college,Kelly Marry,"February 17, 2023",N/A,Opinion,https://wildcat.arizona.edu/127864/opinions/opinion-the-university-of-arizona-was-the-wrong-choice-for-college/
OPINION: Florida Gov. Ron DeSantis and those alike should be held accountable,Noor Haghighi,"February 15, 2023",N/A,Opinion,https://wildcat.arizona.edu/130380/opinions/opinion-florida-gov-ron-desantis-and-those-alike-should-be-held-accountable/
"OPINION: In the world of super fans, women face double standards",Kelly Marry,"February 9, 2023",N/A,Opinion,https://wildcat.arizona.edu/134673/opinions/opinion-in-the-world-of-super-fans-women-face-double-standards/
OPINION: ChatGPT poses a threat to journalism,Luke Lawson,"February 9, 2023",N/A,Opinion,https://wildcat.arizona.edu/140712/opinions/opinion-chatgpt-poses-a-threat-to-journalism/
OPINION: National Gun Violence Survivors Week should make us pause and reflect on trauma,Olivia Krupp,"February 6, 2023",N/A,Opinion,https://wildcat.arizona.edu/127377/opinions/opinion-national-gun-violence-survivors-week-should-make-us-pause-and-reflect-on-trauma/
OPINION: Five local Tucson bands you need to check out in 2023,Sophia Hammer,"January 31, 2023",N/A,Opinion,https://wildcat.arizona.edu/126644/opinions/opinion-five-local-tucson-bands-you-need-to-check-out-in-2023/
OPINION: Campus spotlight: Free weekly Comedy Corner show,Emilee Ceuninck,"January 21, 2023",N/A,Opinion,https://wildcat.arizona.edu/122705/arts-and-life/opinion-campus-spotlight-free-weekly-comedy-corner-show/
OPINION: The UA Alfie Norville Gem & Mineral Museum is well worth a visit,Ben Pope,"December 15, 2022",N/A,Opinion,https://wildcat.arizona.edu/134738/opinions/opinion-the-ua-alfie-norville-gem-mineral-museum-is-well-worth-a-visit/
OPINION: The problem with BookTok sensation Colleen Hoover,Kelly Marry,"December 15, 2022",N/A,Opinion,https://wildcat.arizona.edu/114887/opinions/opinion-the-problem-with-booktok-sensation-colleen-hoover/
OPINION: Part two: The best movie theaters in Tucson,Kate Herreras-Zinman,"December 13, 2022",N/A,Opinion,https://wildcat.arizona.edu/118721/opinions/opinion-part-two-the-best-movie-theaters-in-tucson/
OPINION: Part one: The best movie theaters in Tucson,Kate Herreras-Zinman,"December 11, 2022",N/A,Opinion,https://wildcat.arizona.edu/127787/opinions/opinion-part-one-the-best-movie-theaters-in-tucson/
OPINION: Funding for Arizona Athletics undermines other high-performing UA departments,Noor Haghighi,"December 10, 2022",N/A,Opinion,https://wildcat.arizona.edu/126988/opinions/opinion-funding-for-arizona-athletics-undermines-other-high-performing-ua-departments/
OPINION: Governor-elect Hobbs must remember to represent Indigenous communities,Luke Lawson,"December 8, 2022",N/A,Opinion,https://wildcat.arizona.edu/100092/opinions/opinion-governor-elect-hobbs-must-remember-to-represent-indigenous-communities/
OPINION: Author Julian Vaca’s message of authenticity is one that everyone needs to hear,Sophie Applin,"December 2, 2022",N/A,Opinion,https://wildcat.arizona.edu/123669/opinions/opinion-author-julian-vacas-message-of-authenticity-is-one-that-everyone-needs-to-hear/
OPINION: ‘The Memory Index’ is about so much more than the past,Sophie Applin,"December 2, 2022",N/A,Opinion,https://wildcat.arizona.edu/145021/opinions/opinion-the-memory-index-is-about-so-much-more-than-the-past/
OPINION: Ticketmaster and Taylor Swift failed fans,Kelly Marry,"November 28, 2022",N/A,Opinion,https://wildcat.arizona.edu/144989/opinions/opinion-ticketmaster-and-taylor-swift-failed-fans/
OPINION: Elon Musk should not own Twitter,Luke Lawson,"November 22, 2022",N/A,Opinion,https://wildcat.arizona.edu/135611/opinions/opinion-elon-musk-should-not-own-twitter/
OPINION: Is radical climate activism effective?,Sophie Applin,"November 18, 2022",N/A,Opinion,https://wildcat.arizona.edu/114833/opinions/opinion-is-radical-climate-activism-effective/
OPINION: Broaden your horizons and shop local in Tucson,Ben Pope,"November 16, 2022",N/A,Opinion,https://wildcat.arizona.edu/107561/arts-and-life/opinion-broaden-your-horizons-and-shop-local-in-tucson/
OPINION: We deserve more from the University of Arizona,Olivia Krupp,"November 16, 2022",N/A,Opinion,https://wildcat.arizona.edu/116627/opinions/opinion-we-deserve-more-from-the-university-of-arizona/
OPINION: Togetherall is the online mental health resource everyone should be using,Luke Hamlin,"November 15, 2022",N/A,Opinion,https://wildcat.arizona.edu/133628/opinions/opinion-togetherall-is-the-online-mental-health-resource-everyone-should-be-using/
OPINION: Acne is nothing to be ashamed of,Kelly Marry,"November 15, 2022",N/A,Opinion,https://wildcat.arizona.edu/130683/opinions/opinion-acne-is-nothing-to-be-ashamed-of/
OPINION: AASA and COBA rightfully call for the resignation of Maribel Alvarez from the University of Arizona,Sophia Hammer,"November 9, 2022",N/A,Opinion,https://wildcat.arizona.edu/126458/opinions/opinion-aasa-and-coba-rightfully-call-for-the-resignation-of-maribel-alvarez-from-the-university-of-arizona/
OPINION: First-timer takes the plunge at All Souls,Celeste Mendoza from El Inde Arizona,"November 4, 2022",N/A,Opinion,https://wildcat.arizona.edu/129951/arts/opinion-first-timer-takes-the-plunge-at-all-souls/
OPINION: BeReal is a masterclass in performed authenticity,Fiona Sievert,"November 2, 2022",N/A,Opinion,https://wildcat.arizona.edu/106963/opinions/opinion-bereal-is-a-masterclass-in-performed-authenticity/
OPINION: Taylor Swift releases another great album with ‘Midnights’,Kelly Marry,"November 1, 2022",N/A,Opinion,https://wildcat.arizona.edu/142192/opinions/opinion-taylor-swift-releases-another-great-album-with-midnights/
OPINION: Abortion bans and regulations: Why universities and businesses need to start caring about them,Sophia Hammer,"October 28, 2022",N/A,Opinion,https://wildcat.arizona.edu/131466/opinions/opinion-abortion-bans-and-regulations-why-universities-and-businesses-need-to-start-caring-about-them/
OPINION: President Biden’s marijuana pardon should signal states to make reform,Luke Lawson,"October 26, 2022",N/A,Opinion,https://wildcat.arizona.edu/124212/opinions/opinion-president-bidens-marijuana-pardon-should-signal-states-to-make-reform/
OPINION: Appreciate the walkability of the University of Arizona and free Sun Link rides while you still can,Ben Pope,"October 24, 2022",N/A,Opinion,https://wildcat.arizona.edu/141571/opinions/opinion-appreciate-the-walkability-of-the-university-of-arizona-and-free-sun-link-rides-while-you-still-can/
Editor’s Note: Addressing the harassment of a Daily Wildcat writer,Kristijan Barnjak,"October 23, 2022",N/A,Opinion,https://wildcat.arizona.edu/131137/opinions/editors-note-addressing-the-harassment-of-a-daily-wildcat-writer/
"OPINION: We trusted the process, and the process failed us",Sophie Applin,"October 23, 2022",N/A,Opinion,https://wildcat.arizona.edu/113241/opinions/opinion-we-trusted-the-process-and-the-process-failed-us/
OPINION: Mahsa Amini is giving the Iranian people a new voice,Noor Haghighi,"October 14, 2022",N/A,Opinion,https://wildcat.arizona.edu/102666/opinions/opinion-mahsa-amini-is-giving-the-iranian-people-a-new-voice/
OPINION: The five best movies you might not have seen this year,Kate Herreras-Zinman,"October 13, 2022",N/A,Opinion,https://wildcat.arizona.edu/101266/opinions/opinion-the-five-best-movies-you-might-not-have-seen-this-year/
OPINION: Gunfire should not be a normal part of your school day,Olivia Krupp,"October 11, 2022",N/A,Opinion,https://wildcat.arizona.edu/129809/opinions/opinion-gunfire-should-not-be-a-normal-part-of-your-school-day/
OPINION: TV and film are using wokeness as a selling point,Noor Haghighi,"October 11, 2022",N/A,Opinion,https://wildcat.arizona.edu/126012/opinions/opinion-tv-and-film-are-using-wokeness-as-a-selling-point/
OPINION: Vote ‘yes’ on Prop 308,Sophia Hammer,"October 6, 2022",N/A,Opinion,https://wildcat.arizona.edu/124759/opinions/opinion-vote-yes-on-prop-308/
OPINION: Vote blue for the 2022 Arizona governor race,Sophie Applin,"October 4, 2022",N/A,Opinion,https://wildcat.arizona.edu/137884/opinions/opinion-vote-blue-for-the-2022-arizona-governor-race/
OPINION: Welcoming the new season with some of my fall favorites,Kelly Marry,"September 28, 2022",N/A,Opinion,https://wildcat.arizona.edu/130688/opinions/opinion-welcoming-the-new-season-with-some-of-my-fall-favorites/
OPINION: Tucson has the best ‘A’ Mountain,Ben Pope,"September 28, 2022",N/A,Opinion,https://wildcat.arizona.edu/111776/opinions/opinion-tucson-has-the-best-a-mountain/
OPINION: Out-of-state students should vote in their home state,Luke Lawson,"September 22, 2022",N/A,Opinion,https://wildcat.arizona.edu/142796/opinions/opinion-out-of-state-students-should-vote-in-their-home-state/
OPINION: TikToker Lukas Pakter on newfound internet fame and what it means to ‘be a man’,Olivia Krupp,"September 20, 2022",N/A,Opinion,https://wildcat.arizona.edu/143389/opinions/opinion-tiktoker-lukas-pakter-on-newfound-internet-fame-and-what-it-means-to-be-a-man-2/
OPINION: Students should not stand for white supremacy,Sophia Hammer,"September 19, 2022",N/A,Opinion,https://wildcat.arizona.edu/138239/opinions/opinion-students-should-not-stand-for-white-supremacy/
OPINION: Give these UA artists a listen to freshen up your playlist,Noor Haghighi,"September 8, 2022",N/A,Opinion,https://wildcat.arizona.edu/122372/opinions/opinion-give-these-ua-artists-a-listen-to-freshen-up-your-playlist/
Letter to the Editor: ASUA and the ASUA Supreme Court have lost all credibility,Randall Eck,"September 7, 2022",N/A,Opinion,https://wildcat.arizona.edu/140664/opinions/letter-to-the-editor-asua-and-the-asua-supreme-court-have-lost-all-credibility/
"OPINION: The Inflation Reduction Act is a big win, but we can still do more",Luke Lawson,"August 31, 2022",N/A,Opinion,https://wildcat.arizona.edu/143427/opinions/opinion-the-inflation-reduction-act-is-a-big-win-but-we-can-still-do-more/
UPDATE: University of Arizona Police identify and charge man accused of carrying weapon on campus,Sam Parker,"August 31, 2022",N/A,Opinion,https://wildcat.arizona.edu/117695/opinions/update-university-of-arizona-police-identify-and-charge-man-accused-of-carrying-weapon-on-campus/
OPINION: Jedd Fisch is ready to prove the doubters wrong in year two,Ryan Wohl,"August 30, 2022",N/A,Opinion,https://wildcat.arizona.edu/123662/opinions/opinion-jedd-fisch-is-ready-to-prove-the-doubters-wrong-in-year-two/
COLUMN: What would Wilma do? — Installment 2,Sophie Applin,"August 30, 2022",N/A,Opinion,https://wildcat.arizona.edu/130458/opinions/column-what-would-wilma-do-installment-2/
OPINION: What ZonaZoo Pass is right for you?,Sophie Applin,"August 26, 2022",N/A,Opinion,https://wildcat.arizona.edu/123046/opinions/opinion-what-zonazoo-pass-is-right-for-you/
OPINION: You should fall in love with reading,Kelly Marry,"August 26, 2022",N/A,Opinion,https://wildcat.arizona.edu/134201/opinions/opinion-you-should-fall-in-love-with-reading/
Letter to the Editor: Beware of cults on campus,Andrew Winslow,"August 23, 2022",N/A,Opinion,https://wildcat.arizona.edu/126891/opinions/letter-to-the-editor-beware-of-cults-on-campus/
OPINION: The unionization of Starbucks stores is a step in the right direction,Tereza Rascon,"August 1, 2022",N/A,Opinion,https://wildcat.arizona.edu/145770/opinions/opinion-the-unionization-of-starbucks-stores-is-a-step-in-the-right-direction/
COLUMN: What would Wilma do?,Sophie Applin,"July 23, 2022",N/A,Opinion,https://wildcat.arizona.edu/132022/opinions/column-what-would-wilma-do/
OPINION: The University of Arizona was the right choice for college,Kelly Marry,"July 19, 2022",N/A,Opinion,https://wildcat.arizona.edu/109226/opinions/opinion-the-university-of-arizona-was-the-right-choice-for-college/
GUEST LETTER: The 2022-23 ASUA president welcomes new University of Arizona students,Patrick Robles,"July 17, 2022",N/A,Opinion,https://wildcat.arizona.edu/140140/opinions/guest-letter-the-2022-23-asua-president-welcomes-new-university-of-arizona-students/
OPINION: End writer’s block with the University of Arizona Think Tank Writing Center,Tereza Rascon,"July 12, 2022",N/A,Opinion,https://wildcat.arizona.edu/142663/opinions/opinion-end-writers-block-with-the-university-of-arizona-think-tank-writing-center/
GUEST LETTER: Words of wisdom for incoming freshmen from the UA Bobcats Senior Honorary,Sophie Applin,"July 9, 2022",N/A,Opinion,https://wildcat.arizona.edu/135657/opinions/guest-letter-words-of-wisdom-for-incoming-freshmen-from-the-ua-bobcats-senior-honorary/
GUEST LETTER: Academic advisors are here to help,Allison Ewing-Cooper,"July 9, 2022",N/A,Opinion,https://wildcat.arizona.edu/100260/opinions/guest-letter-academic-advisors-are-here-to-help/
OPINION: 10 discount subscriptions for broke college students,Tereza Rascon,"July 6, 2022",N/A,Opinion,https://wildcat.arizona.edu/107879/opinions/opinion-10-discount-subscriptions-for-broke-college-students/
OPINION: You do not need to be productive every day of the summer,Kelly Marry,"July 2, 2022",N/A,Opinion,https://wildcat.arizona.edu/104074/opinions/opinion-you-do-not-need-to-be-productive-every-day-of-the-summer/
OPINION: The fight for reproductive freedom is not over,Sophie Applin,"June 24, 2022",N/A,Opinion,https://wildcat.arizona.edu/121700/opinions/opinion-the-fight-for-reproductive-freedom-is-not-over/
OPINION: A question of rights,Sophie Applin,"June 23, 2022",N/A,Opinion,https://wildcat.arizona.edu/101615/opinions/opinion-a-question-of-rights/
OPINION: Banning Juul isn’t enough,Sophie Applin,"June 23, 2022",N/A,Opinion,https://wildcat.arizona.edu/116373/opinions/opinion-banning-juul-isnt-enough/
OPINION: My life looks nothing like my Instagram and neither does yours,Olivia Krupp,"June 23, 2022",N/A,Opinion,https://wildcat.arizona.edu/105548/opinions/opinion-my-life-looks-nothing-like-my-instagram-and-neither-does-yours/
OPINION: Young people need to offer more humility to those experiencing homelessness in Tucson,Olivia Krupp,"May 11, 2022",N/A,Opinion,https://wildcat.arizona.edu/143508/opinions/opinion-young-people-need-to-offer-more-humility-to-those-experiencing-homelessness-in-tucson/
OPINION: BeReal is the new social media platform I’ve been waiting for – here’s why,Maayan Cohen,"May 9, 2022",N/A,Opinion,https://wildcat.arizona.edu/100661/opinions/opinion-bereal-is-the-new-social-media-platform-ive-been-waiting-for-heres-why/
OPINION: Self love is not selfish,Isabelle Freguia,"May 9, 2022",N/A,Opinion,https://wildcat.arizona.edu/110212/opinions/opinion-self-love-is-not-selfish/
OPINION: You don’t need to be best friends with your roommate,Kelly Marry,"May 8, 2022",N/A,Opinion,https://wildcat.arizona.edu/109443/opinions/opinion-you-dont-need-to-be-best-friends-with-your-roommate/
OPINION: There’s nothing godly about being religiously predatory,Olivia Krupp,"May 8, 2022",N/A,Opinion,https://wildcat.arizona.edu/123876/opinions/opinion-theres-nothing-godly-about-being-religiously-predatory/
OPINION: Dorms and COVID-19: Reflecting on the past freshman year,Isabelle Freguia,"May 7, 2022",N/A,Opinion,https://wildcat.arizona.edu/109360/opinions/opinion-dorms-and-covid-19-reflecting-on-the-past-freshman-year/
OPINION: Any body is a beach body,Julianna Strano,"May 7, 2022",N/A,Opinion,https://wildcat.arizona.edu/101791/opinions/opinion-any-body-is-a-beach-body/
OPINION: College is a defining moment,Alexzandria Martinez,"April 29, 2022",N/A,Opinion,https://wildcat.arizona.edu/120782/opinions/opinion-college-is-a-defining-moment/
OPINION: A year of failed politics in Arizona and the US,Sophia Hammer,"April 29, 2022",N/A,Opinion,https://wildcat.arizona.edu/99312/opinions/opinion-a-year-of-failed-politics-in-arizona-and-the-us/
OPINION: The social trials and tribulations of freshman year following two years of school online,Olivia Krupp,"April 27, 2022",N/A,Opinion,https://wildcat.arizona.edu/105065/opinions/opinion-the-social-trials-and-tribulations-of-freshman-year-following-two-years-of-school-online/
OPINION: Three graduating seniors share college advice,Maayan Cohen,"April 27, 2022",N/A,Opinion,https://wildcat.arizona.edu/103124/opinions/opinion-three-graduating-seniors-share-college-advice/
"OPINION: Even in finals week, students should not pull all-nighters",Kelly Marry,"April 27, 2022",N/A,Opinion,https://wildcat.arizona.edu/135865/opinions/opinion-even-in-finals-week-students-should-not-pull-all-nighters/
OPINION: Students need to get involved in the fight for climate change outside Earth Day 2022,Sophia Hammer,"April 22, 2022",N/A,Opinion,https://wildcat.arizona.edu/112066/opinions/opinion-students-need-to-get-involved-in-the-fight-for-climate-change-outside-earth-day-2022/
"OPINION: You’re not sexually liberated, you’re 13",Olivia Krupp,"April 7, 2022",N/A,Opinion,https://wildcat.arizona.edu/137062/opinions/opinion-youre-not-sexually-liberated-youre-13/
"OPINION: After two years, COVID-19-conscious students deserve to have some fun without pandemic guilt",Olivia Krupp,"March 31, 2022",N/A,Opinion,https://wildcat.arizona.edu/136693/opinions/opinion-after-two-years-covid-19-conscious-students-deserve-to-have-some-fun-without-pandemic-guilt/
OPINION: Recognizing stress on campus,Julianna Strano,"March 31, 2022",N/A,Opinion,https://wildcat.arizona.edu/145626/opinions/opinion-recognizing-stress-on-campus/
OPINION: Sister Cindy isn’t iconic — she is a marketing mastermind,Maayan Cohen,"March 31, 2022",N/A,Opinion,https://wildcat.arizona.edu/135533/opinions/opinion-sister-cindy-isnt-iconic-she-is-a-marketing-mastermind/
"OPINION: Review of Once Twice Melody, Beach House’s eighth studio album",Kelly Marry,"March 30, 2022",N/A,Opinion,https://wildcat.arizona.edu/114249/opinions/opinion-review-of-once-twice-melody-beach-houses-eighth-studio-album/
OPINION: Traveling as a college student is worth it,Kelly Marry,"March 28, 2022",N/A,Opinion,https://wildcat.arizona.edu/126335/opinions/opinion-traveling-as-a-college-student-is-worth-it/
"OPINION: When the daily Wordle just isn’t enough, here are 13 ranked alternatives",Maayan Cohen,"March 23, 2022",N/A,Opinion,https://wildcat.arizona.edu/124915/opinions/opinion-when-the-daily-wordle-just-isnt-enough-here-are-13-ranked-alternatives/
OPINION: Live in the moment,Julianna Strano,"March 22, 2022",N/A,Opinion,https://wildcat.arizona.edu/141267/opinions/opinion-live-in-the-moment/
OPINION: Reasons to write your senators and representatives and how to do it,Maayan Cohen,"March 22, 2022",N/A,Opinion,https://wildcat.arizona.edu/145662/opinions/opinion-reasons-to-write-your-senators-and-representatives-and-how-to-do-it/
COLUMN: Alex’s music roundup March 18,Alexzandria Martinez,"March 18, 2022",N/A,Opinion,https://wildcat.arizona.edu/99918/opinions/column-alexs-music-roundup-march-18/
OPINION: How the UA and students should move forward in the midst of the Russia-Ukraine crisis,Sophia Hammer,"March 17, 2022",N/A,Opinion,https://wildcat.arizona.edu/145480/opinions/opinion-how-the-ua-and-students-should-move-forward-in-the-midst-of-the-russia-ukraine-crisis/
OPINION: Greek Life is not what you think,Isabelle Freguia,"March 17, 2022",N/A,Opinion,https://wildcat.arizona.edu/131963/opinions/opinion-greek-life-is-not-what-you-think/
OPINION: Has social media helped us open up about mental health?,Julianna Strano,"March 17, 2022",N/A,Opinion,https://wildcat.arizona.edu/122015/opinions/opinion-has-social-media-helped-us-open-up-about-mental-health/
OPINION: Guns on campus cannot be the new normal,Sophia Hammer,"March 17, 2022",N/A,Opinion,https://wildcat.arizona.edu/110144/opinions/opinion-guns-on-campus-cannot-be-the-new-normal/
OPINION: Talking about Latinx/Hispanic college experience,Alexzandria Martinez,"March 17, 2022",N/A,Opinion,https://wildcat.arizona.edu/115774/opinions/opinion-talking-about-latinx-hispanic-college-experience/
OPINION: When will we accept that college is not right for everyone and that is okay?,Maayan Cohen,"March 17, 2022",N/A,Opinion,https://wildcat.arizona.edu/108119/opinions/opinion-when-will-we-accept-that-college-is-not-right-for-everyone-and-that-is-okay/
OPINION: Let women be women,Amanda Betz,"March 17, 2022",N/A,Opinion,https://wildcat.arizona.edu/141827/opinions/opinion-let-women-be-women/
"OPINION: Don’t comment on someone’s body, good or bad",Julianna Strano,"March 15, 2022",N/A,Opinion,https://wildcat.arizona.edu/112893/opinions/opinion-dont-comment-on-someones-body-good-or-bad/
OPINION: Does Tucson still need rodeo days?,Amanda Betz,"February 22, 2022",N/A,Opinion,https://wildcat.arizona.edu/129970/opinions/opinion-does-tucson-still-need-rodeo-days/
OPINION: The evolution of feminism and the shape it has taken today,Payton Toomey,"February 17, 2022",N/A,Opinion,https://wildcat.arizona.edu/115657/opinions/opinion-the-evolution-of-feminism-and-the-shape-it-has-taken-today/
OPINION: Teenage girls shouldn’t be the butt of your joke,Maggie Landon,"February 16, 2022",N/A,Opinion,https://wildcat.arizona.edu/119523/opinions/opinion-teenage-girls-shouldnt-be-the-butt-of-your-joke/
OPINION: The University of Arizona needs to stand in support of the Equal Rights Amendment,Sophia Hammer,"February 14, 2022",N/A,Opinion,https://wildcat.arizona.edu/104191/opinions/opinion-the-university-of-arizona-needs-to-stand-in-support-of-the-equal-rights-amendment/
OPINION: Women are caught in the middle of evolving beauty standards,Julianna Strano,"February 14, 2022",N/A,Opinion,https://wildcat.arizona.edu/107518/opinions/opinion-women-are-caught-in-the-middle-of-evolving-beauty-standards/
OPINION: What is self-love?,Julianna Strano,"February 13, 2022",N/A,Opinion,https://wildcat.arizona.edu/128352/opinions/opinion-what-is-self-love/
